# C initSynchTables dump: F(x) and Ga(x)
# SYNCH_N_X=2000  SYNCH_X_MIN=1.0e-05  SYNCH_X_MAX=5.0e+01
# Columns: i  x  F(x)  Ga(x)
       i               x            F(x)           Ga(x)
     360    1.608488e-04    1.166086e-01    1.602414e+00
     361    1.620948e-04    1.169074e-01    1.602414e+00
     362    1.633504e-04    1.172070e-01    1.602414e+00
     363    1.646157e-04    1.175073e-01    1.602414e+00
     364    1.658909e-04    1.178084e-01    1.602414e+00
     365    1.671759e-04    1.181102e-01    1.602414e+00
     366    1.684709e-04    1.184128e-01    1.602414e+00
     367    1.697759e-04    1.187162e-01    1.602414e+00
     368    1.710910e-04    1.190204e-01    1.602414e+00
     369    1.724163e-04    1.193253e-01    1.602414e+00
     370    1.737518e-04    1.196310e-01    1.602414e+00
     371    1.750978e-04    1.199375e-01    1.602414e+00
     372    1.764541e-04    1.202447e-01    1.602414e+00
     373    1.778209e-04    1.205527e-01    1.602414e+00
     374    1.791984e-04    1.208615e-01    1.602414e+00
     375    1.805865e-04    1.211711e-01    1.602414e+00
     376    1.819853e-04    1.214815e-01    1.602414e+00
     377    1.833950e-04    1.217927e-01    1.602414e+00
     378    1.848156e-04    1.221046e-01    1.602414e+00
     379    1.862472e-04    1.224174e-01    1.602414e+00
     380    1.876900e-04    1.227309e-01    1.602414e+00
     381    1.891438e-04    1.230452e-01    1.602414e+00
     382    1.906090e-04    1.233603e-01    1.602414e+00
     383    1.920855e-04    1.236762e-01    1.602414e+00
     384    1.935734e-04    1.239930e-01    1.602414e+00
     385    1.950728e-04    1.243105e-01    1.602414e+00
     386    1.965839e-04    1.246288e-01    1.602414e+00
     387    1.981067e-04    1.249479e-01    1.602414e+00
     388    1.996413e-04    1.252679e-01    1.602414e+00
     389    2.011877e-04    1.255886e-01    1.602414e+00
     390    2.027462e-04    1.259102e-01    1.602414e+00
     391    2.043167e-04    1.262325e-01    1.602414e+00
     392    2.058993e-04    1.265557e-01    1.602413e+00
     393    2.074943e-04    1.268797e-01    1.602413e+00
     394    2.091016e-04    1.272045e-01    1.602413e+00
     395    2.107213e-04    1.275302e-01    1.602413e+00
     396    2.123536e-04    1.278567e-01    1.602413e+00
     397    2.139985e-04    1.281840e-01    1.602413e+00
     398    2.156562e-04    1.285121e-01    1.602413e+00
     399    2.173267e-04    1.288410e-01    1.602413e+00
     400    2.190101e-04    1.291708e-01    1.602413e+00
     401    2.207066e-04    1.295014e-01    1.602414e+00
     402    2.224163e-04    1.298329e-01    1.602414e+00
     403    2.241391e-04    1.301652e-01    1.602414e+00
     404    2.258754e-04    1.304983e-01    1.602414e+00
     405    2.276250e-04    1.308323e-01    1.602413e+00
     406    2.293883e-04    1.311671e-01    1.602413e+00
     407    2.311651e-04    1.315027e-01    1.602413e+00
     408    2.329558e-04    1.318392e-01    1.602413e+00
     409    2.347603e-04    1.321766e-01    1.602413e+00
     410    2.365788e-04    1.325148e-01    1.602413e+00
     411    2.384114e-04    1.328539e-01    1.602413e+00
     412    2.402582e-04    1.331938e-01    1.602413e+00
     413    2.421193e-04    1.335346e-01    1.602413e+00
     414    2.439947e-04    1.338762e-01    1.602413e+00
     415    2.458848e-04    1.342187e-01    1.602413e+00
     416    2.477894e-04    1.345621e-01    1.602413e+00
     417    2.497089e-04    1.349063e-01    1.602413e+00
     418    2.516432e-04    1.352514e-01    1.602413e+00
     419    2.535924e-04    1.355974e-01    1.602413e+00
     420    2.555568e-04    1.359442e-01    1.602413e+00
     421    2.575364e-04    1.362919e-01    1.602413e+00
     422    2.595313e-04    1.366405e-01    1.602413e+00
     423    2.615417e-04    1.369900e-01    1.602413e+00
     424    2.635676e-04    1.373403e-01    1.602413e+00
     425    2.656093e-04    1.376916e-01    1.602413e+00
     426    2.676667e-04    1.380437e-01    1.602413e+00
     427    2.697401e-04    1.383967e-01    1.602413e+00
     428    2.718296e-04    1.387506e-01    1.602413e+00
     429    2.739352e-04    1.391054e-01    1.602413e+00
     430    2.760572e-04    1.394611e-01    1.602413e+00
     431    2.781956e-04    1.398177e-01    1.602413e+00
     432    2.803505e-04    1.401751e-01    1.602413e+00
     433    2.825222e-04    1.405335e-01    1.602413e+00
     434    2.847106e-04    1.408928e-01    1.602412e+00
     435    2.869161e-04    1.412530e-01    1.602412e+00
     436    2.891386e-04    1.416141e-01    1.602412e+00
     437    2.913783e-04    1.419761e-01    1.602412e+00
     438    2.936353e-04    1.423390e-01    1.602412e+00
     439    2.959099e-04    1.427028e-01    1.602412e+00
     440    2.982021e-04    1.430676e-01    1.602412e+00
     441    3.005120e-04    1.434333e-01    1.602412e+00
     442    3.028398e-04    1.437998e-01    1.602412e+00
     443    3.051857e-04    1.441673e-01    1.602412e+00
     444    3.075497e-04    1.445358e-01    1.602412e+00
